"Date(UTC)","UnixTimeStamp","Value"
"3/25/2023","1679702400","21"
"3/26/2023","1679788800","7"
"3/27/2023","1679875200","5046"
"3/28/2023","1679961600","9102"
"3/29/2023","1680048000","5702"
"3/30/2023","1680134400","7089"
"3/31/2023","1680220800","7178"
"4/1/2023","1680307200","8521"
"4/2/2023","1680393600","9280"
"4/3/2023","1680480000","6143"
"4/4/2023","1680566400","16957"
"4/5/2023","1680652800","3800"
"4/6/2023","1680739200","6914"
"4/7/2023","1680825600","7101"
"4/8/2023","1680912000","6235"
"4/9/2023","1680998400","5488"
"4/10/2023","1681084800","6257"
"4/11/2023","1681171200","3925"
"4/12/2023","1681257600","3483"
"4/13/2023","1681344000","2924"
"4/14/2023","1681430400","5655"
"4/15/2023","1681516800","6852"
"4/16/2023","1681603200","5433"
"4/17/2023","1681689600","5777"
"4/18/2023","1681776000","3695"
"4/19/2023","1681862400","2443"
"4/20/2023","1681948800","2369"
"4/21/2023","1682035200","3478"
"4/22/2023","1682121600","4309"
"4/23/2023","1682208000","3286"
"4/24/2023","1682294400","4232"
"4/25/2023","1682380800","4137"
"4/26/2023","1682467200","4219"
"4/27/2023","1682553600","3902"
"4/28/2023","1682640000","3546"
"4/29/2023","1682726400","2673"
"4/30/2023","1682812800","2604"
"5/1/2023","1682899200","2220"
"5/2/2023","1682985600","4147"
"5/3/2023","1683072000","2861"
"5/4/2023","1683158400","2474"
"5/5/2023","1683244800","1869"
"5/6/2023","1683331200","1467"
"5/7/2023","1683417600","1509"
"5/8/2023","1683504000","1733"
"5/9/2023","1683590400","2047"
"5/10/2023","1683676800","1890"
"5/11/2023","1683763200","3144"
"5/12/2023","1683849600","6477"
"5/13/2023","1683936000","11280"
"5/14/2023","1684022400","13933"
"5/15/2023","1684108800","12063"
"5/16/2023","1684195200","12649"
"5/17/2023","1684281600","13918"
"5/18/2023","1684368000","12137"
"5/19/2023","1684454400","13757"
"5/20/2023","1684540800","14784"
"5/21/2023","1684627200","17897"
"5/22/2023","1684713600","14506"
"5/23/2023","1684800000","15193"
"5/24/2023","1684886400","23724"
"5/25/2023","1684972800","25396"
"5/26/2023","1685059200","24553"
"5/27/2023","1685145600","29325"
"5/28/2023","1685232000","28400"
"5/29/2023","1685318400","23463"
"5/30/2023","1685404800","19154"
"5/31/2023","1685491200","22370"
"6/1/2023","1685577600","18460"
"6/2/2023","1685664000","22268"
"6/3/2023","1685750400","30772"
"6/4/2023","1685836800","30775"
"6/5/2023","1685923200","22441"
"6/6/2023","1686009600","21002"
"6/7/2023","1686096000","20829"
"6/8/2023","1686182400","18595"
"6/9/2023","1686268800","23369"
"6/10/2023","1686355200","23509"
"6/11/2023","1686441600","34340"
"6/12/2023","1686528000","48690"
"6/13/2023","1686614400","70543"
"6/14/2023","1686700800","53266"
"6/15/2023","1686787200","45031"
"6/16/2023","1686873600","57612"
"6/17/2023","1686960000","54353"
"6/18/2023","1687046400","57608"
"6/19/2023","1687132800","53105"
"6/20/2023","1687219200","53074"
"6/21/2023","1687305600","50136"
"6/22/2023","1687392000","47155"
"6/23/2023","1687478400","40561"
"6/24/2023","1687564800","44883"
"6/25/2023","1687651200","46350"
"6/26/2023","1687737600","58081"
"6/27/2023","1687824000","54131"
"6/28/2023","1687910400","51150"
"6/29/2023","1687996800","49460"
"6/30/2023","1688083200","57734"
"7/1/2023","1688169600","45337"
"7/2/2023","1688256000","58378"
"7/3/2023","1688342400","55102"
"7/4/2023","1688428800","61461"
"7/5/2023","1688515200","33758"
"7/6/2023","1688601600","35415"
"7/7/2023","1688688000","48109"
"7/8/2023","1688774400","61261"
"7/9/2023","1688860800","68786"
"7/10/2023","1688947200","56776"
"7/11/2023","1689033600","51200"
"7/12/2023","1689120000","45102"
"7/13/2023","1689206400","46997"
"7/14/2023","1689292800","47341"
"7/15/2023","1689379200","64460"
"7/16/2023","1689465600","51978"
"7/17/2023","1689552000","46065"
"7/18/2023","1689638400","40202"
"7/19/2023","1689724800","42625"
"7/20/2023","1689811200","43385"
"7/21/2023","1689897600","40362"
"7/22/2023","1689984000","51677"
"7/23/2023","1690070400","48375"
"7/24/2023","1690156800","44294"
"7/25/2023","1690243200","79519"
"7/26/2023","1690329600","83584"
"7/27/2023","1690416000","57352"
"7/28/2023","1690502400","61261"
"7/29/2023","1690588800","81959"
"7/30/2023","1690675200","89850"
"7/31/2023","1690761600","115144"
"8/1/2023","1690848000","47028"
"8/2/2023","1690934400","73551"
"8/3/2023","1691020800","104634"
"8/4/2023","1691107200","122136"
"8/5/2023","1691193600","118016"
"8/6/2023","1691280000","99986"
"8/7/2023","1691366400","42487"
"8/8/2023","1691452800","39296"
"8/9/2023","1691539200","45403"
"8/10/2023","1691625600","36112"
"8/11/2023","1691712000","35651"
"8/12/2023","1691798400","39332"
"8/13/2023","1691884800","44342"
"8/14/2023","1691971200","38434"
"8/15/2023","1692057600","34726"
"8/16/2023","1692144000","28941"
"8/17/2023","1692230400","28611"
"8/18/2023","1692316800","28971"
"8/19/2023","1692403200","40830"
"8/20/2023","1692489600","39372"
"8/21/2023","1692576000","32160"
"8/22/2023","1692662400","30269"
"8/23/2023","1692748800","37368"
"8/24/2023","1692835200","31216"
"8/25/2023","1692921600","29070"
"8/26/2023","1693008000","36822"
"8/27/2023","1693094400","38030"
"8/28/2023","1693180800","29562"
"8/29/2023","1693267200","29525"
"8/30/2023","1693353600","29889"
"8/31/2023","1693440000","28057"
"9/1/2023","1693526400","29581"
"9/2/2023","1693612800","34440"
"9/3/2023","1693699200","33257"
"9/4/2023","1693785600","30721"
"9/5/2023","1693872000","28980"
"9/6/2023","1693958400","25756"
"9/7/2023","1694044800","26489"
"9/8/2023","1694131200","29305"
"9/9/2023","1694217600","31650"
"9/10/2023","1694304000","32735"
"9/11/2023","1694390400","26768"
"9/12/2023","1694476800","26465"
"9/13/2023","1694563200","22582"
"9/14/2023","1694649600","27896"
"9/15/2023","1694736000","28045"
"9/16/2023","1694822400","26367"
"9/17/2023","1694908800","28519"
"9/18/2023","1694995200","21537"
"9/19/2023","1695081600","29174"
"9/20/2023","1695168000","25793"
"9/21/2023","1695254400","26434"
"9/22/2023","1695340800","33067"
"9/23/2023","1695427200","28213"
"9/24/2023","1695513600","34971"
"9/25/2023","1695600000","28546"
"9/26/2023","1695686400","24376"
"9/27/2023","1695772800","28631"
"9/28/2023","1695859200","25048"
"9/29/2023","1695945600","26355"
"9/30/2023","1696032000","29212"
"10/1/2023","1696118400","28142"
"10/2/2023","1696204800","24213"
"10/3/2023","1696291200","26767"
"10/4/2023","1696377600","27027"
"10/5/2023","1696464000","29157"
"10/6/2023","1696550400","31607"
"10/7/2023","1696636800","28966"
"10/8/2023","1696723200","30129"
"10/9/2023","1696809600","27047"
"10/10/2023","1696896000","26032"
"10/11/2023","1696982400","25833"
"10/12/2023","1697068800","31260"
"10/13/2023","1697155200","29388"
"10/14/2023","1697241600","31910"
"10/15/2023","1697328000","27084"
"10/16/2023","1697414400","26850"
"10/17/2023","1697500800","27742"
"10/18/2023","1697587200","28249"
"10/19/2023","1697673600","28202"
"10/20/2023","1697760000","36451"
"10/21/2023","1697846400","36627"
"10/22/2023","1697932800","38761"
"10/23/2023","1698019200","31356"
"10/24/2023","1698105600","24262"
"10/25/2023","1698192000","30749"
"10/26/2023","1698278400","25746"
"10/27/2023","1698364800","38189"
"10/28/2023","1698451200","38976"
"10/29/2023","1698537600","40780"
"10/30/2023","1698624000","34639"
"10/31/2023","1698710400","32744"
"11/1/2023","1698796800","42170"
"11/2/2023","1698883200","48161"
"11/3/2023","1698969600","50980"
"11/4/2023","1699056000","64725"
"11/5/2023","1699142400","65002"
"11/6/2023","1699228800","37413"
"11/7/2023","1699315200","47675"
"11/8/2023","1699401600","59277"
"11/9/2023","1699488000","52043"
"11/10/2023","1699574400","44159"
"11/11/2023","1699660800","66225"
"11/12/2023","1699747200","72269"
"11/13/2023","1699833600","37049"
"11/14/2023","1699920000","43744"
"11/15/2023","1700006400","49217"
"11/16/2023","1700092800","42801"
"11/17/2023","1700179200","41353"
"11/18/2023","1700265600","59315"
"11/19/2023","1700352000","59614"
"11/20/2023","1700438400","32268"
"11/21/2023","1700524800","29521"
"11/22/2023","1700611200","28791"
